fold,source_row_index,Variant_ID,Label,score,fold_selected_threshold,threshold,prediction,evaluation_split,dataset,error_type,distance_to_threshold,confidence_band
0.0,1.0,VAR_004387,0,0.0673602017175217,0.4552237562989291,0.4381502900787569,0,MASTER_ONLY_CV,,correct,0.37079008836123517,high
1.0,2.0,VAR_001540,0,0.5764945068458546,0.4676065299723352,0.4381502900787569,1,MASTER_ONLY_CV,,false_positive,0.13834421676709768,moderate
1.0,3.0,VAR_000808,1,0.9743749009999502,0.4676065299723352,0.4381502900787569,1,MASTER_ONLY_CV,,correct,0.5362246109211932,high
3.0,4.0,VAR_000082,1,0.8114085918119084,0.4381502900787569,0.4381502900787569,1,MASTER_ONLY_CV,,correct,0.3732583017331515,high
2.0,5.0,VAR_002119,0,0.3313854523483142,0.3589974365481315,0.4381502900787569,0,MASTER_ONLY_CV,,correct,0.10676483773044271,moderate
3.0,6.0,VAR_006245,0,0.1012173006214232,0.4381502900787569,0.4381502900787569,0,MASTER_ONLY_CV,,correct,0.3369329894573337,high
3.0,7.0,VAR_000163,1,0.7381862850870318,0.4381502900787569,0.4381502900787569,1,MASTER_ONLY_CV,,correct,0.3000359950082749,high
0.0,8.0,VAR_005692,1,0.914114701540504,0.4552237562989291,0.4381502900787569,1,MASTER_ONLY_CV,,correct,0.4759644114617471,high
1.0,9.0,VAR_006030,1,0.6709698267174908,0.4676065299723352,0.4381502900787569,1,MASTER_ONLY_CV,,correct,0.23281953663873395,high
2.0,10.0,VAR_004890,0,0.1949078050445255,0.3589974365481315,0.4381502900787569,0,MASTER_ONLY_CV,,correct,0.24324248503423138,high
4.0,11.0,VAR_000584,0,0.8352942910493796,0.2888357696077288,0.4381502900787569,1,MASTER_ONLY_CV,,false_positive,0.3971440009706227,high
0.0,12.0,VAR_003833,0,0.0296042082674649,0.4552237562989291,0.4381502900787569,0,MASTER_ONLY_CV,,correct,0.408546081811292,high
0.0,14.0,VAR_002625,1,0.7603380932665034,0.4552237562989291,0.4381502900787569,1,MASTER_ONLY_CV,,correct,0.3221878031877465,high
4.0,15.0,VAR_001845,0,0.417269499223534,0.2888357696077288,0.4381502900787569,0,MASTER_ONLY_CV,,correct,0.020880790855222875,borderline
1.0,18.0,VAR_005011,1,0.0988371219922819,0.4676065299723352,0.4381502900787569,0,MASTER_ONLY_CV,,false_negative,0.339313168086475,high
3.0,19.0,VAR_005563,1,0.928108037797435,0.4381502900787569,0.4381502900787569,1,MASTER_ONLY_CV,,correct,0.4899577477186781,high
1.0,20.0,VAR_002538,1,0.956124579406868,0.4676065299723352,0.4381502900787569,1,MASTER_ONLY_CV,,correct,0.5179742893281112,high
0.0,21.0,VAR_002184,1,0.840141374289809,0.4552237562989291,0.4381502900787569,1,MASTER_ONLY_CV,,correct,0.40199108421105206,high
0.0,22.0,VAR_005553,1,0.758842427216866,0.4552237562989291,0.4381502900787569,1,MASTER_ONLY_CV,,correct,0.3206921371381091,high
