dataset,feature,mean,median,pathogenic_mean,benign_mean,missing_rate
MASTER,EK_7,5.94422888200795,7.100061685578055,6.6367118757687065,3.849440733432771,0.12248379392698738
MASTER,EK7xEK9,54.20134358476442,55.089941623621456,61.385104043586395,32.74863868114687,0.20709655407710678
MASTER,EK_9,7.482126223774363,7.853835768247391,8.209316146570048,5.310535047809884,0.20709655407710678
MASTER,EK_3,3.0462020109412684,3.691725113453424,3.524241039618599,1.89585702916667,0.45377004435346296
MASTER,n_pops,10.320027294438757,10.0,8.632852489530014,14.956521739130435,0.0
MASTER,EK_2,4.464253150152814,5.098376727198789,4.851008858450995,3.2943020012633264,0.12248379392698738
MASTER,n_nonmiss_AL,144.11395428181507,125.0,126.29129827826897,193.0920716112532,0.0
MASTER,AL_287,0.014687379176187726,0.0007454755918857,0.010963105849361955,0.02003291576717895,0.665984305697714
MASTER,AL_215,0.017661200882409387,0.00098528305978535,0.013672723102870016,0.022097822232683514,0.7434322756738314
MASTER,AL_26,0.014779090472673086,0.0008699595792563001,0.010199666763808913,0.024503585827367728,0.3701808256567724
KANSER,EK_7,5.436957153531887,5.868977136112866,6.461188889337263,2.831629825560931,0.059278350515463915
KANSER,EK7xEK9,49.86123074096395,51.24090623939618,60.4996021604677,22.535217879101364,0.061855670103092786
KANSER,EK_9,7.351058401832962,7.867681923792894,8.639995805995099,4.040258402906687,0.061855670103092786
KANSER,EK_3,3.432603389607437,4.053058331474163,4.212650806763724,1.9426251770617198,0.3324742268041237
KANSER,n_pops,9.399484536082474,10.0,5.447761194029851,18.225,0.0
KANSER,EK_2,4.404692965211168,5.215234681419561,5.070022451697353,2.712301455896795,0.059278350515463915
KANSER,n_nonmiss_AL,135.33505154639175,88.5,96.4776119402985,222.11666666666667,0.0
KANSER,AL_287,0.019207516688010528,0.003097413092283,0.02924077443725277,0.013474226545586387,0.7164948453608248
KANSER,AL_215,0.018981439802245745,0.00094000584130205,0.034763626074810865,0.013720711044724037,0.7731958762886598
KANSER,AL_26,0.012803773834148529,0.000815929067846,0.013364672897301217,0.012232676606211251,0.42783505154639173
PAH,EK_7,6.141133330034896,6.982136397874937,6.512690557875131,4.159494781553639,0.02956989247311828
PAH,EK7xEK9,56.47603854667936,56.342245698964874,60.43396476512235,35.3670987149834,0.02956989247311828
PAH,EK_9,7.600164011390178,7.939798644170147,7.931080808765898,5.835274425386334,0.02956989247311828
PAH,EK_3,2.542272588320347,3.480102732859349,2.740563021688905,1.7788544198513994,0.478494623655914
PAH,n_pops,9.46505376344086,10.0,9.512903225806452,9.225806451612904,0.0
PAH,EK_2,4.670457304091608,5.446313223181701,4.875490333969159,3.576947811411335,0.02956989247311828
PAH,n_nonmiss_AL,145.15860215053763,135.0,144.83225806451614,146.79032258064515,0.0
PAH,AL_287,0.00023978007570496233,6.717115325017694e-05,0.00023146800171873843,0.0002878053920698116,0.6720430107526881
PAH,AL_215,0.0002751819858604028,0.0001257672452563,0.0002658379832960942,0.0003269333846781119,0.771505376344086
PAH,AL_26,0.0003535029551183053,6.261549092681009e-05,0.00031754735854195296,0.0005360467531213253,0.3629032258064516
CFTR,EK_7,6.710044689585923,7.414666986298354,7.261256570938039,4.347708055219717,0.0
CFTR,EK7xEK9,62.30865630180266,59.05748646526719,69.57497521028404,31.16728955116824,0.0
CFTR,EK_9,8.284521273501312,8.099661561837715,9.032583053226002,5.078542217538362,0.0
CFTR,EK_3,3.141778372626145,3.4578737543513096,3.382000072963037,2.5058974011461363,0.44144144144144143
CFTR,n_pops,14.243243243243244,10.0,13.844444444444445,15.952380952380953,0.0
CFTR,EK_2,5.047641209936059,5.430886043992196,5.213957236274445,4.334858239914403,0.0
CFTR,n_nonmiss_AL,229.018018018018,299.0,227.3,236.38095238095238,0.0
CFTR,AL_287,0.00883486840228992,0.0003710404848227,0.007695732881532981,0.013310043662406472,0.3783783783783784
CFTR,AL_215,0.018416131979763824,0.0036034681766631,0.01687281716369111,0.023946343404024396,0.5045045045045045
CFTR,AL_26,0.017277876114620422,0.0029526738013691,0.017614699612942968,0.015614810091652854,0.14414414414414414
