column,missing_rate,missing_count,band
Variant_ID,0.0,0,0%
AL_1,0.8996929375639714,2637,76-99%
AL_2,0.8996929375639714,2637,76-99%
AL_3,0.8996929375639714,2637,76-99%
AL_4,0.8996929375639714,2637,76-99%
AL_5,0.8996929375639714,2637,76-99%
AL_6,0.8996929375639714,2637,76-99%
AL_7,0.3903104742408734,1144,26-50%
AL_8,0.3903104742408734,1144,26-50%
AL_9,0.3903104742408734,1144,26-50%
AL_10,0.3903104742408734,1144,26-50%
AL_11,0.3903104742408734,1144,26-50%
AL_12,0.3903104742408734,1144,26-50%
AL_13,0.3903104742408734,1144,26-50%
AL_14,0.3903104742408734,1144,26-50%
AL_15,0.3903104742408734,1144,26-50%
AL_16,0.6397134083930399,1875,51-75%
AL_17,0.6397134083930399,1875,51-75%
AL_18,0.6397134083930399,1875,51-75%
AL_19,0.6397134083930399,1875,51-75%
AL_20,0.6400545888775162,1876,51-75%
AL_21,0.6400545888775162,1876,51-75%
AL_22,0.6400545888775162,1876,51-75%
AL_23,0.6397134083930399,1875,51-75%
AL_24,0.6400545888775162,1876,51-75%
AL_25,0.6400545888775162,1876,51-75%
AL_26,0.3701808256567724,1085,26-50%
CAT_1,0.3701808256567724,1085,26-50%
AL_27,0.9140225179119754,2679,76-99%
AL_28,0.9140225179119754,2679,76-99%
AL_29,0.9140225179119754,2679,76-99%
AL_30,0.9140225179119754,2679,76-99%
AL_31,0.9140225179119754,2679,76-99%
AL_32,0.9140225179119754,2679,76-99%
AL_33,0.9140225179119754,2679,76-99%
AL_34,0.9140225179119754,2679,76-99%
AL_35,0.9140225179119754,2679,76-99%
AL_36,0.9140225179119754,2679,76-99%
AL_37,0.9140225179119754,2679,76-99%
AL_38,0.9140225179119754,2679,76-99%
AL_39,0.48345274650290004,1417,26-50%
AL_40,0.48345274650290004,1417,26-50%
AL_41,0.48345274650290004,1417,26-50%
AL_42,0.48345274650290004,1417,26-50%
AL_43,0.48345274650290004,1417,26-50%
AL_44,0.48345274650290004,1417,26-50%
AL_45,0.48345274650290004,1417,26-50%
AL_46,0.48345274650290004,1417,26-50%
AL_47,0.48345274650290004,1417,26-50%
AL_48,0.48345274650290004,1417,26-50%
AL_49,0.48345274650290004,1417,26-50%
AL_50,0.48345274650290004,1417,26-50%
AL_51,0.48345274650290004,1417,26-50%
AL_52,0.48345274650290004,1417,26-50%
AL_53,0.48345274650290004,1417,26-50%
AL_54,0.48345274650290004,1417,26-50%
AL_55,0.48345274650290004,1417,26-50%
AL_56,0.48345274650290004,1417,26-50%
AL_57,0.48345274650290004,1417,26-50%
AL_58,0.48345274650290004,1417,26-50%
AL_59,0.48345274650290004,1417,26-50%
AL_60,0.48345274650290004,1417,26-50%
AL_61,0.48345274650290004,1417,26-50%
AL_62,0.48345274650290004,1417,26-50%
AL_63,0.48345274650290004,1417,26-50%
AL_64,0.48345274650290004,1417,26-50%
AL_65,0.48345274650290004,1417,26-50%
AL_66,0.48345274650290004,1417,26-50%
AL_67,0.48345274650290004,1417,26-50%
AL_68,0.48345274650290004,1417,26-50%
AL_69,0.48345274650290004,1417,26-50%
AL_70,0.48345274650290004,1417,26-50%
AL_71,0.48345274650290004,1417,26-50%
AL_72,0.48345274650290004,1417,26-50%
AL_73,0.48345274650290004,1417,26-50%
AL_74,0.48345274650290004,1417,26-50%
AL_75,0.5916069600818833,1734,51-75%
AL_76,0.5916069600818833,1734,51-75%
AL_77,0.5916069600818833,1734,51-75%
AL_78,0.5916069600818833,1734,51-75%
AL_79,0.5916069600818833,1734,51-75%
AL_80,0.5916069600818833,1734,51-75%
AL_81,0.5916069600818833,1734,51-75%
AL_82,0.5916069600818833,1734,51-75%
AL_83,0.5916069600818833,1734,51-75%
AL_84,0.5916069600818833,1734,51-75%
AL_85,0.5916069600818833,1734,51-75%
AL_86,0.5916069600818833,1734,51-75%
AL_87,0.5916069600818833,1734,51-75%
AL_88,0.5916069600818833,1734,51-75%
AL_89,0.5916069600818833,1734,51-75%
AL_90,0.5916069600818833,1734,51-75%
AL_91,0.5916069600818833,1734,51-75%
AL_92,0.5916069600818833,1734,51-75%
AL_93,0.5916069600818833,1734,51-75%
AL_94,0.5916069600818833,1734,51-75%
AL_95,0.5916069600818833,1734,51-75%
CAT_2,0.5916069600818833,1734,51-75%
AL_96,0.5916069600818833,1734,51-75%
AL_97,0.5916069600818833,1734,51-75%
AL_98,0.5916069600818833,1734,51-75%
CAT_3,0.12248379392698738,359,1-25%
CAT_4,0.12248379392698738,359,1-25%
EK_1,0.12248379392698738,359,1-25%
EK_2,0.12248379392698738,359,1-25%
