path,extension,bytes,classification,reason
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_001_initial/all_evaluation_metrics.csv,.csv,9901,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_001_initial/config.json,.json,174,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_001_initial/diagnosis.md,.md,212,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_001_initial/error_analysis.csv,.csv,4952,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_001_initial/feature_importance.csv,.csv,10363,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_001_initial/main_model_cv_results.csv,.csv,3750,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_001_initial/metrics.csv,.csv,2439,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_001_initial/panel_generalization_results.csv,.csv,147,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_001_initial/threshold_results.csv,.csv,170,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_002_f1_threshold/config.json,.json,188,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_002_f1_threshold/diagnosis.md,.md,205,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_002_f1_threshold/metrics.csv,.csv,2439,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_003_youden_threshold/config.json,.json,189,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_003_youden_threshold/diagnosis.md,.md,186,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_003_youden_threshold/metrics.csv,.csv,2439,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_004_extra_trees/config.json,.json,189,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_004_extra_trees/diagnosis.md,.md,148,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_004_extra_trees/metrics.csv,.csv,1145,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_005_catboost/config.json,.json,189,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_005_catboost/diagnosis.md,.md,142,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_005_catboost/metrics.csv,.csv,1136,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_006_ensemble_stack/config.json,.json,189,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_006_ensemble_stack/diagnosis.md,.md,165,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
.codex_backups/final_test_legacy_eval_20260623_015807/artifacts/metrics/experiments/experiment_006_ensemble_stack/metrics.csv,.csv,1153,SAFE_DELETE_CANDIDATE,cache or local restoration backup; never delete before confirmation
