dataset,Variant_ID,Label,predicted_probability,predicted_label,threshold,error_type
CFTR_unique,VAR_001893,1,0.4050959864250379,0,0.622612398585205,FN
CFTR_unique,VAR_001858,1,0.1062510663525199,0,0.622612398585205,FN
CFTR_unique,VAR_001977,0,0.8390778137927353,1,0.622612398585205,FP
CFTR_unique,VAR_001934,0,0.9904248766186744,1,0.622612398585205,FP
KANSER_unique,VAR_004425,0,0.9909277316897056,1,0.622612398585205,FP
KANSER_unique,VAR_001003,0,0.9997248191881054,1,0.622612398585205,FP
KANSER_unique,VAR_001282,1,0.3325247919569181,0,0.622612398585205,FN
KANSER_unique,VAR_004618,0,0.97654122776036,1,0.622612398585205,FP
KANSER_unique,VAR_000930,0,0.9840524894089204,1,0.622612398585205,FP
KANSER_unique,VAR_003634,0,0.8987194852025359,1,0.622612398585205,FP
KANSER_unique,VAR_001053,0,0.969224539768846,1,0.622612398585205,FP
KANSER_unique,VAR_004709,0,0.9859622868713642,1,0.622612398585205,FP
KANSER_unique,VAR_003546,0,0.6472927961833341,1,0.622612398585205,FP
KANSER_unique,VAR_004556,0,0.998804149075826,1,0.622612398585205,FP
KANSER_unique,VAR_001252,0,0.9987399386352492,1,0.622612398585205,FP
KANSER_unique,VAR_004370,0,0.998531648449232,1,0.622612398585205,FP
KANSER_unique,VAR_002377,0,0.9987709878126037,1,0.622612398585205,FP
KANSER_unique,VAR_000680,0,0.8845076664273155,1,0.622612398585205,FP
KANSER_unique,VAR_004336,0,0.9999748618946508,1,0.622612398585205,FP
KANSER_unique,VAR_004339,0,0.9994367221394392,1,0.622612398585205,FP
KANSER_unique,VAR_003706,1,0.4130987582143974,0,0.622612398585205,FN
KANSER_unique,VAR_004397,0,0.9984274870786388,1,0.622612398585205,FP
KANSER_unique,VAR_004395,0,0.8789973187213243,1,0.622612398585205,FP
KANSER_unique,VAR_000560,0,0.7585688978484694,1,0.622612398585205,FP
KANSER_unique,VAR_004422,0,0.996850453109425,1,0.622612398585205,FP
KANSER_unique,VAR_004335,0,0.9290117478625456,1,0.622612398585205,FP
KANSER_unique,VAR_001005,0,0.9054725188334346,1,0.622612398585205,FP
KANSER_unique,VAR_000626,1,0.4749591150845466,0,0.622612398585205,FN
KANSER_unique,VAR_004688,0,0.8996690388408121,1,0.622612398585205,FP
KANSER_unique,VAR_000693,0,0.9999995591511768,1,0.622612398585205,FP
KANSER_unique,VAR_000936,0,0.767920372120701,1,0.622612398585205,FP
KANSER_unique,VAR_000929,0,0.9999046664698038,1,0.622612398585205,FP
KANSER_unique,VAR_004668,0,0.887463935225346,1,0.622612398585205,FP
KANSER_unique,VAR_004672,0,0.8711780270027445,1,0.622612398585205,FP
KANSER_unique,VAR_001267,0,0.992230497131654,1,0.622612398585205,FP
KANSER_unique,VAR_003577,0,0.999755238268704,1,0.622612398585205,FP
KANSER_unique,VAR_001020,0,0.9937765954866292,1,0.622612398585205,FP
KANSER_unique,VAR_000624,0,0.9998614906495558,1,0.622612398585205,FP
KANSER_unique,VAR_004697,0,0.9904273498503876,1,0.622612398585205,FP
KANSER_unique,VAR_003656,0,0.9971474886253616,1,0.622612398585205,FP
KANSER_unique,VAR_001249,0,0.8880988936976495,1,0.622612398585205,FP
KANSER_unique,VAR_004650,0,0.9903925798148482,1,0.622612398585205,FP
KANSER_unique,VAR_004659,0,0.9980606284753746,1,0.622612398585205,FP
KANSER_unique,VAR_004678,0,0.995020509947324,1,0.622612398585205,FP
PAH_unique,VAR_003238,1,0.4749591150845466,0,0.622612398585205,FN
PAH_unique,VAR_003008,0,0.9959870640060968,1,0.622612398585205,FP
PAH_unique,VAR_003054,0,0.9932165310137858,1,0.622612398585205,FP
PAH_unique,VAR_002729,0,0.999678783244284,1,0.622612398585205,FP
PAH_unique,VAR_003120,1,0.6123130381214981,0,0.622612398585205,FN
PAH_unique,VAR_002860,0,0.9996696328863676,1,0.622612398585205,FP
PAH_unique,VAR_002995,0,0.9954141639908946,1,0.622612398585205,FP
PAH_unique,VAR_002647,0,0.9966411258799444,1,0.622612398585205,FP
PAH_unique,VAR_002975,0,0.9053676291350442,1,0.622612398585205,FP
PAH_unique,VAR_003061,0,0.9378127823401076,1,0.622612398585205,FP
PAH_unique,VAR_002796,1,0.0096692543114951,0,0.622612398585205,FN
PAH_unique,VAR_002776,0,0.9871730931104972,1,0.622612398585205,FP
PAH_unique,VAR_003057,0,0.9997576523959212,1,0.622612398585205,FP
PAH_unique,VAR_002741,0,0.999028175561864,1,0.622612398585205,FP
PAH_unique,VAR_002857,0,0.9999833735820662,1,0.622612398585205,FP
PAH_unique,VAR_003023,0,0.8789038793148536,1,0.622612398585205,FP
PAH_unique,VAR_003072,0,0.9325348244360884,1,0.622612398585205,FP
PAH_unique,VAR_002656,1,0.2131470350977322,0,0.622612398585205,FN
PAH_unique,VAR_003223,0,0.9875744664779268,1,0.622612398585205,FP
PAH_unique,VAR_002548,0,0.8382678639994795,1,0.622612398585205,FP
PAH_unique,VAR_002933,0,0.9982530306676132,1,0.622612398585205,FP
PAH_unique,VAR_003202,0,0.8149591520956446,1,0.622612398585205,FP
PAH_unique,VAR_002978,0,0.995396718795776,1,0.622612398585205,FP
PAH_unique,VAR_002554,0,0.9870573435857828,1,0.622612398585205,FP
PAH_unique,VAR_002781,0,0.8743373296131328,1,0.622612398585205,FP
PAH_unique,VAR_003176,0,0.8524860012309955,1,0.622612398585205,FP
PAH_unique,VAR_002966,0,0.9992226962806696,1,0.622612398585205,FP
