dataset,column,missing_rate
MASTER,CAT_6,0.9771409075400888
MASTER,AL_30,0.9140225179119754
MASTER,AL_27,0.9140225179119754
MASTER,AL_28,0.9140225179119754
MASTER,AL_33,0.9140225179119754
MASTER,AL_36,0.9140225179119754
MASTER,AL_38,0.9140225179119754
MASTER,AL_37,0.9140225179119754
MASTER,AL_35,0.9140225179119754
MASTER,AL_32,0.9140225179119754
MASTER,AL_34,0.9140225179119754
MASTER,AL_31,0.9140225179119754
MASTER,AL_29,0.9140225179119754
MASTER,AL_6,0.8996929375639714
MASTER,AL_5,0.8996929375639714
MASTER,AL_4,0.8996929375639714
MASTER,AL_3,0.8996929375639714
MASTER,AL_1,0.8996929375639714
MASTER,AL_2,0.8996929375639714
MASTER,AL_215,0.7434322756738314
MASTER,AL_217,0.7434322756738314
MASTER,AL_214,0.7434322756738314
MASTER,AL_216,0.7434322756738314
MASTER,AL_287,0.665984305697714
MASTER,AL_289,0.665984305697714
MASTER,AL_286,0.665984305697714
MASTER,AL_288,0.665984305697714
MASTER,AL_185,0.6639372227908563
MASTER,AL_184,0.6639372227908563
MASTER,AL_183,0.6639372227908563
MASTER,AL_252,0.6618901398839986
MASTER,AL_251,0.6618901398839986
MASTER,AL_250,0.6618901398839986
MASTER,AL_253,0.6618901398839986
MASTER,AL_275,0.6451722961446605
MASTER,AL_290,0.6448311156601843
MASTER,AL_293,0.6448311156601843
MASTER,AL_210,0.6448311156601843
MASTER,AL_211,0.6448311156601843
MASTER,AL_212,0.6448311156601843
MASTER,AL_213,0.6448311156601843
MASTER,AL_221,0.6448311156601843
MASTER,AL_220,0.6448311156601843
MASTER,AL_219,0.6448311156601843
MASTER,AL_218,0.6448311156601843
MASTER,AL_222,0.6448311156601843
MASTER,AL_209,0.6448311156601843
MASTER,AL_284,0.6448311156601843
MASTER,AL_283,0.6448311156601843
MASTER,AL_279,0.6448311156601843
MASTER,AL_280,0.6448311156601843
MASTER,AL_281,0.6448311156601843
MASTER,AL_285,0.6448311156601843
MASTER,AL_282,0.6448311156601843
MASTER,AL_292,0.6448311156601843
MASTER,AL_291,0.6448311156601843
MASTER,AL_294,0.6448311156601843
MASTER,AL_264,0.6448311156601843
MASTER,AL_265,0.6448311156601843
MASTER,AL_276,0.6448311156601843
MASTER,AL_274,0.6448311156601843
MASTER,AL_271,0.6448311156601843
MASTER,AL_270,0.6448311156601843
MASTER,AL_269,0.6448311156601843
MASTER,AL_268,0.6448311156601843
MASTER,AL_267,0.6448311156601843
MASTER,AL_266,0.6448311156601843
MASTER,AL_277,0.6448311156601843
MASTER,AL_278,0.6448311156601843
MASTER,AL_242,0.6448311156601843
MASTER,AL_246,0.6448311156601843
MASTER,AL_245,0.6448311156601843
MASTER,AL_244,0.6448311156601843
MASTER,AL_247,0.6448311156601843
MASTER,AL_241,0.6448311156601843
MASTER,AL_243,0.6448311156601843
MASTER,AL_232,0.6448311156601843
MASTER,AL_239,0.6448311156601843
MASTER,AL_223,0.6448311156601843
MASTER,AL_224,0.6448311156601843
MASTER,AL_229,0.6448311156601843
MASTER,AL_228,0.6448311156601843
MASTER,AL_227,0.6448311156601843
MASTER,AL_226,0.6448311156601843
MASTER,AL_225,0.6448311156601843
MASTER,AL_240,0.6448311156601843
MASTER,AL_238,0.6448311156601843
MASTER,AL_263,0.6448311156601843
MASTER,AL_260,0.6448311156601843
MASTER,AL_258,0.6448311156601843
MASTER,AL_259,0.6448311156601843
MASTER,AL_261,0.6448311156601843
MASTER,AL_262,0.6448311156601843
MASTER,AL_256,0.6448311156601843
MASTER,AL_257,0.6448311156601843
MASTER,AL_254,0.6448311156601843
MASTER,AL_255,0.6448311156601843
MASTER,AL_248,0.6448311156601843
MASTER,AL_249,0.6448311156601843
MASTER,AL_273,0.6448311156601843
MASTER,AL_272,0.6448311156601843
MASTER,AL_192,0.6448311156601843
MASTER,AL_187,0.6448311156601843
MASTER,AL_189,0.6448311156601843
MASTER,AL_188,0.6448311156601843
MASTER,AL_193,0.6448311156601843
MASTER,AL_191,0.6448311156601843
MASTER,AL_190,0.6448311156601843
MASTER,AL_201,0.6448311156601843
MASTER,AL_202,0.6448311156601843
MASTER,AL_231,0.6448311156601843
MASTER,AL_207,0.6448311156601843
MASTER,AL_208,0.6448311156601843
MASTER,AL_205,0.6448311156601843
MASTER,AL_204,0.6448311156601843
MASTER,AL_203,0.6448311156601843
MASTER,AL_206,0.6448311156601843
MASTER,AL_194,0.6448311156601843
MASTER,AL_195,0.6448311156601843
MASTER,AL_196,0.6448311156601843
MASTER,AL_197,0.6448311156601843
MASTER,AL_198,0.6448311156601843
MASTER,AL_199,0.6448311156601843
MASTER,AL_200,0.6448311156601843
MASTER,AL_233,0.6448311156601843
MASTER,AL_236,0.6448311156601843
MASTER,AL_235,0.6448311156601843
MASTER,AL_230,0.6448311156601843
MASTER,AL_237,0.6448311156601843
MASTER,AL_234,0.6448311156601843
MASTER,AL_25,0.6400545888775162
MASTER,AL_24,0.6400545888775162
MASTER,AL_20,0.6400545888775162
MASTER,AL_21,0.6400545888775162
MASTER,AL_22,0.6400545888775162
MASTER,AL_16,0.6397134083930399
MASTER,AL_17,0.6397134083930399
MASTER,AL_23,0.6397134083930399
MASTER,AL_19,0.6397134083930399
MASTER,AL_18,0.6397134083930399
MASTER,AL_95,0.5916069600818833
MASTER,AL_82,0.5916069600818833
MASTER,CAT_2,0.5916069600818833
MASTER,AL_81,0.5916069600818833
MASTER,AL_80,0.5916069600818833
MASTER,AL_79,0.5916069600818833
MASTER,AL_98,0.5916069600818833
MASTER,AL_97,0.5916069600818833
MASTER,AL_96,0.5916069600818833
MASTER,AL_92,0.5916069600818833
MASTER,AL_93,0.5916069600818833
MASTER,AL_94,0.5916069600818833
MASTER,AL_91,0.5916069600818833
MASTER,AL_90,0.5916069600818833
MASTER,AL_78,0.5916069600818833
MASTER,AL_77,0.5916069600818833
MASTER,AL_76,0.5916069600818833
MASTER,AL_75,0.5916069600818833
MASTER,AL_83,0.5916069600818833
MASTER,AL_89,0.5916069600818833
MASTER,AL_88,0.5916069600818833
MASTER,AL_87,0.5916069600818833
MASTER,AL_86,0.5916069600818833
MASTER,AL_85,0.5916069600818833
MASTER,AL_84,0.5916069600818833
MASTER,AL_169,0.4930058000682361
MASTER,AL_170,0.4930058000682361
MASTER,AL_166,0.4930058000682361
MASTER,AL_165,0.4930058000682361
MASTER,AL_164,0.4930058000682361
MASTER,AL_163,0.4930058000682361
MASTER,AL_162,0.4930058000682361
MASTER,AL_161,0.4930058000682361
MASTER,AL_160,0.4930058000682361
MASTER,AL_159,0.4930058000682361
MASTER,AL_158,0.4930058000682361
MASTER,AL_157,0.4930058000682361
MASTER,AL_156,0.4930058000682361
MASTER,AL_155,0.4930058000682361
MASTER,AL_154,0.4930058000682361
MASTER,AL_153,0.4930058000682361
MASTER,AL_182,0.4930058000682361
MASTER,AL_181,0.4930058000682361
MASTER,AL_180,0.4930058000682361
MASTER,AL_179,0.4930058000682361
MASTER,AL_178,0.4930058000682361
MASTER,AL_177,0.4930058000682361
MASTER,AL_176,0.4930058000682361
MASTER,AL_175,0.4930058000682361
MASTER,AL_174,0.4930058000682361
MASTER,AL_173,0.4930058000682361
MASTER,AL_172,0.4930058000682361
MASTER,AL_171,0.4930058000682361
MASTER,AL_138,0.4930058000682361
MASTER,AL_137,0.4930058000682361
MASTER,AL_167,0.4930058000682361
MASTER,AL_168,0.4930058000682361
MASTER,AL_134,0.4930058000682361
MASTER,AL_133,0.4930058000682361
MASTER,AL_132,0.4930058000682361
MASTER,AL_131,0.4930058000682361
MASTER,AL_130,0.4930058000682361
MASTER,AL_129,0.4930058000682361
MASTER,AL_128,0.4930058000682361
MASTER,AL_127,0.4930058000682361
MASTER,AL_126,0.4930058000682361
MASTER,AL_125,0.4930058000682361
MASTER,AL_124,0.4930058000682361
MASTER,AL_123,0.4930058000682361
MASTER,AL_122,0.4930058000682361
MASTER,AL_121,0.4930058000682361
MASTER,AL_152,0.4930058000682361
MASTER,AL_151,0.4930058000682361
MASTER,AL_150,0.4930058000682361
MASTER,AL_149,0.4930058000682361
MASTER,AL_148,0.4930058000682361
MASTER,AL_147,0.4930058000682361
MASTER,AL_146,0.4930058000682361
MASTER,AL_145,0.4930058000682361
MASTER,AL_144,0.4930058000682361
MASTER,AL_143,0.4930058000682361
MASTER,AL_142,0.4930058000682361
MASTER,AL_141,0.4930058000682361
MASTER,AL_140,0.4930058000682361
MASTER,AL_139,0.4930058000682361
MASTER,AL_107,0.4930058000682361
MASTER,AL_108,0.4930058000682361
MASTER,AL_109,0.4930058000682361
MASTER,AL_110,0.4930058000682361
MASTER,AL_111,0.4930058000682361
MASTER,AL_112,0.4930058000682361
MASTER,AL_113,0.4930058000682361
MASTER,AL_114,0.4930058000682361
MASTER,AL_115,0.4930058000682361
MASTER,AL_116,0.4930058000682361
MASTER,AL_117,0.4930058000682361
MASTER,AL_118,0.4930058000682361
MASTER,AL_119,0.4930058000682361
MASTER,AL_120,0.4930058000682361
MASTER,AL_102,0.4930058000682361
MASTER,AL_99,0.4930058000682361
MASTER,AL_103,0.4930058000682361
MASTER,AL_104,0.4930058000682361
MASTER,AL_101,0.4930058000682361
MASTER,AL_100,0.4930058000682361
MASTER,AL_135,0.4930058000682361
MASTER,AL_136,0.4930058000682361
MASTER,AL_105,0.4930058000682361
MASTER,AL_106,0.4930058000682361
MASTER,AL_69,0.48345274650290004
MASTER,AL_65,0.48345274650290004
MASTER,AL_68,0.48345274650290004
MASTER,AL_74,0.48345274650290004
MASTER,AL_46,0.48345274650290004
MASTER,AL_39,0.48345274650290004
MASTER,AL_40,0.48345274650290004
MASTER,AL_41,0.48345274650290004
MASTER,AL_58,0.48345274650290004
MASTER,AL_59,0.48345274650290004
MASTER,AL_60,0.48345274650290004
MASTER,AL_61,0.48345274650290004
MASTER,AL_62,0.48345274650290004
MASTER,AL_47,0.48345274650290004
MASTER,AL_48,0.48345274650290004
MASTER,AL_49,0.48345274650290004
MASTER,AL_50,0.48345274650290004
MASTER,AL_51,0.48345274650290004
MASTER,AL_52,0.48345274650290004
MASTER,AL_53,0.48345274650290004
MASTER,AL_54,0.48345274650290004
MASTER,AL_55,0.48345274650290004
MASTER,AL_56,0.48345274650290004
MASTER,AL_57,0.48345274650290004
MASTER,AL_42,0.48345274650290004
MASTER,AL_43,0.48345274650290004
MASTER,AL_44,0.48345274650290004
MASTER,AL_45,0.48345274650290004
MASTER,AL_66,0.48345274650290004
MASTER,AL_67,0.48345274650290004
MASTER,AL_63,0.48345274650290004
MASTER,AL_64,0.48345274650290004
MASTER,AL_73,0.48345274650290004
MASTER,AL_72,0.48345274650290004
MASTER,AL_71,0.48345274650290004
MASTER,AL_70,0.48345274650290004
MASTER,EK_3,0.45377004435346296
MASTER,AL_331,0.44319344933469806
MASTER,AL_328,0.44319344933469806
MASTER,AL_327,0.44319344933469806
MASTER,AL_320,0.44319344933469806
MASTER,AL_321,0.44319344933469806
MASTER,AL_314,0.44319344933469806
MASTER,AL_315,0.44319344933469806
MASTER,AL_300,0.44319344933469806
MASTER,AL_301,0.44319344933469806
MASTER,AL_302,0.44319344933469806
MASTER,AL_303,0.44319344933469806
MASTER,AL_304,0.44319344933469806
MASTER,AL_305,0.44319344933469806
MASTER,AL_306,0.44319344933469806
MASTER,AL_307,0.44319344933469806
MASTER,AL_308,0.44319344933469806
MASTER,AL_309,0.44319344933469806
MASTER,AL_310,0.44319344933469806
MASTER,AL_311,0.44319344933469806
MASTER,AL_324,0.44319344933469806
MASTER,AL_325,0.44319344933469806
MASTER,AL_322,0.44319344933469806
MASTER,AL_323,0.44319344933469806
MASTER,AL_330,0.44319344933469806
MASTER,AL_329,0.44319344933469806
MASTER,AL_334,0.44319344933469806
MASTER,AL_333,0.44319344933469806
MASTER,AL_332,0.44319344933469806
MASTER,AL_313,0.44319344933469806
MASTER,AL_298,0.44319344933469806
MASTER,AL_299,0.44319344933469806
MASTER,AL_312,0.44319344933469806
MASTER,AL_295,0.44319344933469806
MASTER,AL_297,0.44319344933469806
MASTER,AL_296,0.44319344933469806
MASTER,AL_326,0.44319344933469806
MASTER,AL_317,0.44319344933469806
MASTER,AL_318,0.44319344933469806
MASTER,AL_319,0.44319344933469806
MASTER,AL_316,0.44319344933469806
MASTER,AL_14,0.3903104742408734
MASTER,AL_7,0.3903104742408734
MASTER,AL_8,0.3903104742408734
MASTER,AL_11,0.3903104742408734
MASTER,AL_10,0.3903104742408734
MASTER,AL_13,0.3903104742408734
MASTER,AL_12,0.3903104742408734
MASTER,AL_9,0.3903104742408734
MASTER,AL_15,0.3903104742408734
MASTER,CAT_1,0.3701808256567724
MASTER,AL_26,0.3701808256567724
MASTER,AL_186,0.3135448652337086
MASTER,EK_9,0.20709655407710678
MASTER,EK_8,0.12248379392698738
MASTER,CAT_5,0.12248379392698738
MASTER,EK_7,0.12248379392698738
MASTER,EK_4,0.12248379392698738
MASTER,EK_5,0.12248379392698738
MASTER,EK_6,0.12248379392698738
MASTER,EK_1,0.12248379392698738
MASTER,EK_2,0.12248379392698738
MASTER,CAT_3,0.12248379392698738
MASTER,CAT_4,0.12248379392698738
MASTER,AA_2,0.11941316956670078
MASTER,AA_1,0.1187308085977482
MASTER,Variant_ID,0.0
MASTER,Label,0.0
KANSER,CAT_6,0.9896907216494846
KANSER,AL_30,0.8994845360824743
KANSER,AL_27,0.8994845360824743
KANSER,AL_28,0.8994845360824743
KANSER,AL_33,0.8994845360824743
KANSER,AL_36,0.8994845360824743
KANSER,AL_38,0.8994845360824743
KANSER,AL_37,0.8994845360824743
KANSER,AL_35,0.8994845360824743
KANSER,AL_32,0.8994845360824743
KANSER,AL_34,0.8994845360824743
KANSER,AL_31,0.8994845360824743
KANSER,AL_29,0.8994845360824743
KANSER,AL_6,0.884020618556701
KANSER,AL_5,0.884020618556701
KANSER,AL_4,0.884020618556701
KANSER,AL_3,0.884020618556701
KANSER,AL_1,0.884020618556701
KANSER,AL_2,0.884020618556701
KANSER,AL_215,0.7731958762886598
KANSER,AL_217,0.7731958762886598
KANSER,AL_214,0.7731958762886598
KANSER,AL_216,0.7731958762886598
KANSER,AL_185,0.7319587628865979
KANSER,AL_184,0.7319587628865979
KANSER,AL_183,0.7319587628865979
KANSER,AL_252,0.7216494845360825
KANSER,AL_251,0.7216494845360825
KANSER,AL_250,0.7216494845360825
KANSER,AL_253,0.7216494845360825
KANSER,AL_286,0.7164948453608248
KANSER,AL_287,0.7164948453608248
KANSER,AL_289,0.7164948453608248
KANSER,AL_288,0.7164948453608248
KANSER,AL_294,0.6984536082474226
KANSER,AL_290,0.6984536082474226
KANSER,AL_293,0.6984536082474226
KANSER,AL_210,0.6984536082474226
KANSER,AL_211,0.6984536082474226
KANSER,AL_212,0.6984536082474226
KANSER,AL_213,0.6984536082474226
KANSER,AL_221,0.6984536082474226
KANSER,AL_220,0.6984536082474226
KANSER,AL_219,0.6984536082474226
KANSER,AL_218,0.6984536082474226
KANSER,AL_222,0.6984536082474226
KANSER,AL_209,0.6984536082474226
KANSER,AL_284,0.6984536082474226
KANSER,AL_283,0.6984536082474226
KANSER,AL_279,0.6984536082474226
KANSER,AL_280,0.6984536082474226
KANSER,AL_281,0.6984536082474226
KANSER,AL_285,0.6984536082474226
KANSER,AL_282,0.6984536082474226
KANSER,AL_292,0.6984536082474226
KANSER,AL_291,0.6984536082474226
KANSER,AL_265,0.6984536082474226
KANSER,AL_264,0.6984536082474226
KANSER,AL_274,0.6984536082474226
KANSER,AL_275,0.6984536082474226
KANSER,AL_278,0.6984536082474226
KANSER,AL_271,0.6984536082474226
KANSER,AL_270,0.6984536082474226
KANSER,AL_269,0.6984536082474226
KANSER,AL_268,0.6984536082474226
KANSER,AL_267,0.6984536082474226
KANSER,AL_266,0.6984536082474226
KANSER,AL_277,0.6984536082474226
KANSER,AL_276,0.6984536082474226
KANSER,AL_242,0.6984536082474226
KANSER,AL_246,0.6984536082474226
KANSER,AL_245,0.6984536082474226
KANSER,AL_244,0.6984536082474226
KANSER,AL_247,0.6984536082474226
KANSER,AL_241,0.6984536082474226
KANSER,AL_243,0.6984536082474226
KANSER,AL_232,0.6984536082474226
KANSER,AL_239,0.6984536082474226
KANSER,AL_223,0.6984536082474226
KANSER,AL_224,0.6984536082474226
KANSER,AL_229,0.6984536082474226
KANSER,AL_228,0.6984536082474226
KANSER,AL_227,0.6984536082474226
KANSER,AL_226,0.6984536082474226
KANSER,AL_225,0.6984536082474226
